"Name";"Sector";"Status";"Description";"Relevance";"Link";"Example_URL";"Example_Name";"phi";"R"
"Avatar del *Metaverse*";"comunicazione";"sperimentazione";"Avatar dall'aspetto realistico che consentono una presenza apparentemente naturale nel *Metaverse*.";2;"Questa tecnologia potrebbe permettere una connessione più diretta durante le riunioni *remote*.";"https://www.youtube.com/watch?v=MVYrJJNdrEg";"Interview";-0.785398163397448;1.5
"TikTok";"comunicazione";"maturità";"Piattaforma di social media incentrata su contenuti video brevi, popolare per la sua vasta gamma di video musicali, di danza, comici e creativi generati dagli utenti.";3;"";"https://www.tiktok.com/";"TikTok";-0.933403964181704;1
"Software Atlassian";"comunicazione";"maturità";"Un insieme di strumenti utili per pianificare, tracciare, organizzare il lavoro, creare documentazioni e collaborare su *code*.";3;"";"https://www.atlassian.com/software";"Atlassian";-0.598862256712007;1
"Sequenziamento di prossima generazione";"dati";"ricerca applicata";"Tecnologia utilizzata per sequenziare DNA o RNA. Può essere utilizzata in diversi campi di ricerca come lo studio di semi e varietà di piante.";2;"";"https://emea.illumina.com/science/technology/next-generation-sequencing.html";"Illumina";0;1.75
"Green-IT";"dati";"sperimentazione";"Il Green IT si riferisce all'informatica sostenibile dal punto di vista ambientale, incentrata sulla progettazione, produzione, utilizzo e smaltimento di computer, server e sottosistemi associati in modo efficiente ed efficace con un impatto minimo sull'ambiente.";3;"";"";"";0.198204951864202;1.5
"Gemello digitale";"dati";"sperimentazione";"Rappresentazione virtuale di un sistema (ad esempio, una fattoria) basata su sensori e dati in tempo reale per prendere decisioni basate sui dati.";3;"";"";"";-0.208734679490575;1.5
"Dati aperti collegati";"dati";"lanciato sul mercato";"Linked Open Data è un metodo di pubblicazione e connessione di dati sul web utilizzando standard aperti e *URIs* in modo che possano essere facilmente accessibili, interrogati e arricchiti da umani e macchine.";2;"";"";"";-0.0622551300649423;1.25
"ESG";"dati";"lanciato sul mercato";"Governance Ambientale, Sociale e Corporativa. Struttura per valutare un'organizzazione in termini di standard ambientali, sociali e di governance.";1;"";"";"";0.129089685380375;1.25
"Coltivazione verticale";"dati";"lanciato sul mercato";"La produzione di piante in un ambiente controllato e impilate l'una sull'altra.";2;"";"";"";-0.251513398538791;1.25
"Dati aperti del governo";"dati";"maturità";"Dati governativi che sono apertamente accessibili al pubblico.";4;"";"https://opendata.swiss";"opendata.swiss";-0.202204101180061;1
"Framework di Descrizione delle Risorse";"dati";"maturità";"Struttura per rappresentare dati interconnessi sul web (web semantico). È particolarmente prevista per la rappresentazione di metadati su risorse web.";2;"";"";"";0.053679880812978;1
"i14y";"dati";"maturità";"i14y è la piattaforma svizzera di interoperabilità e funge anche da catalogo nazionale dei dati della Svizzera. È gestito dall'Ufficio Federale di Statistica.";4;"";"";"";0.237042360470541;1
"visualize.admin.ch";"dati";"maturità";"Strumento di visualizzazione per dati governativi aperti pubblicati su *LINDAS*.";3;"";"https://www.visualize.admin.ch";"visualize.admin.ch";-0.0517141113726952;1
"Archiviazione di dati biomolecolari";"infrastruttura";"ricerca di base";"Tecnologia innovativa che utilizza molecole biologiche, principalmente il DNA, per conservare e recuperare informazioni digitali, offrendo potenzialmente alta densità e preservazione dei dati a lungo termine.";2;"";"https://www.cnet.com/tech/computing/startup-packs-all-16gb-wikipedia-onto-dna-strands-demonstrate-new-storage-tech/";"CNET Article";0.819267764922301;2
"*Quantum-Computing*";"infrastruttura";"ricerca di base";"Un tipo di calcolo che utilizza fenomeni quantistico-meccanici, come la *superposition* e l'*entanglement*, per eseguire operazioni sui dati, risolvendo potenzialmente determinati problemi più velocemente dei computer classici.";1;"";"";"";0.648769784277044;2
"Cluster di *GPU*";"infrastruttura";"maturità";"Cluster di computer dotato di unità di elaborazione grafica. Utile per l'addestramento e l'esecuzione di grandi modelli di *machine learning*.";2;"";"https://aws.amazon.com/nvidia/";"AWS";0.825853588535909;1
"Virtualizzazione dei Dati";"infrastruttura";"maturità";"La virtualizzazione dei dati è una tecnologia che consente il recupero e la manipolazione dei dati senza richiedere dettagli tecnici sui dati, come il loro formato o la loro posizione fisica.";1;"";"";"";0.585859367061524;1
"*Cloud computing*";"infrastruttura";"maturità";"Consegna di diversi servizi attraverso Internet, inclusi lo storage di dati, server, database, networking e software, fornendo spesso risorse flessibili, innovazione più rapida e economie di scala.";4;"";"";"";0.947970991355586;1
"Etichette digitali per orecchie";"smart farming";"ricerca applicata";"Marche auricolari che permettono di tracciare geograficamente gli animali da fattoria.";3;"";"";"";1.5707963267949;1.75
"Fertilizzazione a tasso variabile";"smart farming";"sperimentazione";"Regolare la quantità e il tipo di fertilizzante applicato alle colture in base alle esigenze specifiche e alle condizioni delle diverse aree all'interno di un campo.";2;"";"";"";1.5707963267949;1.5
"Robot per la diserbo";"smart farming";"lanciato sul mercato";"Robot che mirano specificamente alle erbacce in un campo. Le erbacce possono essere distrutte utilizzando erbicidi, zappette, acqua o *laser*.";3;"";"";"";1.75813108482808;1.25
"Immagini da *UAV*";"smart farming";"lanciato sul mercato";"L'acquisizione di immagini tramite UAV si riferisce al processo di cattura di immagini e video dall'aria utilizzando veicoli aerei senza equipaggio (*UAV*), comunemente utilizzati per scopi come rilevamento, mappatura e sorveglianza.";3;"";"";"";1.33601050874507;1.25
"IoT";"smart farming";"maturità";"L'Internet delle Cose (IoT) si riferisce alla rete di oggetti incorporati con sensori, software e altre tecnologie allo scopo di connettersi e scambiare dati con altri dispositivi e sistemi tramite internet.";2;"";"";"";1.39549433584904;1
"Robot da mungitura";"smart farming";"maturità";"Macchina progettata per gestire l'intero processo di mungitura delle mucche da latte, riducendo la necessità di lavoro umano nell'allevamento *dairy farming*.";3;"Potrebbe inviare automaticamente i dati del latte necessari per scopi amministrativi.";"http://www.moser-stalleinrichtungen.ch";"Moser Stalleinrichtungen";1.56806480350234;1
"Immagini satellitari";"smart farming";"maturità";"Comprende la cattura di immagini della Terra da satelliti in orbita, che vengono utilizzate per vari scopi.";4;"Potrebbe essere utilizzato per determinare il periodo di copertura vegetale tramite dati da *satellite*.";"";"";1.68833418745255;1
